id,name,unitTypeId
1,Pitch 1,1
2,Pitch 2,1
3,Pitch 3,1
4,Pitch 4,1
5,Pitch 5,1
6,Pitch 6,1
7,Pitch 7,1
8,Pitch 8,1
9,Pitch 9,1
10,Pitch 10,1
11,Pitch 11,1
12,Pitch 12,1
13,Pitch 13,2
14,Pitch 14,2
15,Pitch 15,2
16,Pitch 16,2
17,Pitch 17,2
18,Pitch 18,2
19,Pitch 19,2
20,Pitch 20,2
21,Pitch 21,2
22,Pitch 22,2
23,Pitch 23,2
24,Pitch 24,2
25,Pitch 25,2
26,Pitch 26,2
27,Pitch 27,2
28,Pitch 28,2
29,Pitch 29,2
30,Pitch 30,2
31,Pitch 31,2
32,Pitch 32,2
33,Pitch 33,2
34,Pitch 34,2
35,Pitch 35,2
36,Pitch 36,2
37,Pitch 37,2
38,Pitch 38,2
39,Pitch 39,2
40,Pitch 40,2
41,Pitch 41,2
42,Pitch 42,2
43,Pitch 43,2
44,Pitch 44,2
45,Pitch 45,2
46,Pitch 46,2
47,Pitch 47,2
48,Pitch 48,2
49,Pitch 49,2
50,Pitch 50,2
51,Pitch 51,2
52,Pitch 52,2
53,Pitch 53,2
54,Pitch 54,2
55,Pitch 55,2
56,Pitch 56,2
57,Pitch 57,2
58,Pitch 58,2
59,Pitch 59,2
60,Pitch 60,2
61,Pitch 61,2
62,Pitch 62,2
63,Pitch 63,3
64,Pitch 64,3
65,Pitch 65,3
66,Pitch 66,3
67,Pitch 67,3
68,Pitch 68,3
69,Pitch 69,3
70,Pitch 70,3
71,Pitch 71,3
72,Pitch 72,3
73,Pitch 73,3
74,Pitch 74,3
75,Pitch 75,3
76,Pitch 76,3
77,Pitch 77,3
78,Pitch 78,3
79,Pitch 79,3
80,Pitch 80,3
81,Pitch 81,3
82,Pitch 82,3
83,Pitch 83,3
84,Pitch 84,3
85,Pitch 85,3
86,Pitch 86,4
87,Pitch 87,4
88,Pitch 88,4
89,Pitch 89,4
90,Pitch 90,4
91,Pitch 91,4
92,Pitch 92,4
93,Pitch 93,4
94,Pitch 94,4
95,Pitch 95,4
96,Pitch 96,4
97,Pitch 97,4
98,Pitch 98,4
99,Pitch 99,4
100,Pitch 100,4
101,Pitch 101,4
102,Pitch 102,4
103,Pitch 103,4
104,Pitch 104,4
105,Pitch 105,4
106,Unpowered 1,5
107,Unpowered 2,5
108,Unpowered 3,5
109,Unpowered 4,5
110,Unpowered 5,5
111,Unpowered 6,5
112,Unpowered 7,5
113,Unpowered 8,5
114,Unpowered 9,5
115,Unpowered 10,5
116,Unpowered 11,5
117,Unpowered 12,5
118,Unpowered 13,5
119,Unpowered 14,5
120,Unpowered 15,5
